"filename", "language", "Python", "YAML", "Markdown", "CMake", "C", "C++", "Go Assembly", "comment", "blank", "total"
"d:\Projects\C\cleonos\cleonos\c\apps\help_main.c", "C", 0, 0, 0, 0, 71, 0, 0, 0, 7, 78
"d:\Projects\C\cleonos\cleonos\c\apps\kbdstat_main.c", "C", 0, 0, 0, 0, 40, 0, 0, 0, 8, 48
"d:\Projects\C\cleonos\cleonos\c\apps\ls_main.c", "C", 0, 0, 0, 0, 258, 0, 0, 0, 73, 331
"d:\Projects\C\cleonos\cleonos\c\apps\memstat_main.c", "C", 0, 0, 0, 0, 39, 0, 0, 0, 8, 47
"d:\Projects\C\cleonos\cleonos\c\apps\mkdir_main.c", "C", 0, 0, 0, 0, 53, 0, 0, 0, 13, 66
"d:\Projects\C\cleonos\cleonos\c\apps\mv_main.c", "C", 0, 0, 0, 0, 98, 0, 0, 0, 25, 123
"d:\Projects\C\cleonos\cleonos\c\apps\pid_main.c", "C", 0, 0, 0, 0, 35, 0, 0, 0, 8, 43
"d:\Projects\C\cleonos\cleonos\c\apps\pwd_main.c", "C", 0, 0, 0, 0, 35, 0, 0, 0, 8, 43
"d:\Projects\C\cleonos\cleonos\c\apps\restart_main.c", "C", 0, 0, 0, 0, 36, 0, 0, 0, 8, 44
"d:\Projects\C\cleonos\cleonos\c\apps\rm_main.c", "C", 0, 0, 0, 0, 53, 0, 0, 0, 13, 66
"d:\Projects\C\cleonos\cleonos\c\apps\shell\shell_cmd.c", "C", 0, 0, 0, 0, 1535, 0, 0, 0, 392, 1927
"d:\Projects\C\cleonos\cleonos\c\apps\shell\shell_external.c", "C", 0, 0, 0, 0, -57, 0, 0, 0, -20, -77
"d:\Projects\C\cleonos\cleonos\c\apps\shell\shell_input.c", "C", 0, 0, 0, 0, 259, 0, 0, 0, 64, 323
"d:\Projects\C\cleonos\cleonos\c\apps\shell\shell_internal.h", "C++", 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"d:\Projects\C\cleonos\cleonos\c\apps\shell\shell_util.c", "C", 0, 0, 0, 0, 72, 0, 0, 0, 20, 92
"d:\Projects\C\cleonos\cleonos\c\apps\shstat_main.c", "C", 0, 0, 0, 0, 41, 0, 0, 0, 8, 49
"d:\Projects\C\cleonos\cleonos\c\apps\shutdown_main.c", "C", 0, 0, 0, 0, 36, 0, 0, 0, 8, 44
"d:\Projects\C\cleonos\cleonos\c\apps\sleep_main.c", "C", 0, 0, 0, 0, 48, 0, 0, 0, 11, 59
"d:\Projects\C\cleonos\cleonos\c\apps\sort_main.c", "C", 0, 0, 0, 0, 205, 0, 0, 0, 63, 268
"d:\Projects\C\cleonos\cleonos\c\apps\spawn_main.c", "C", 0, 0, 0, 0, 72, 0, 0, 0, 17, 89
"d:\Projects\C\cleonos\cleonos\c\apps\stats_main.c", "C", 0, 0, 0, 0, 98, 0, 0, 0, 14, 112
"d:\Projects\C\cleonos\cleonos\c\apps\tail_main.c", "C", 0, 0, 0, 0, 190, 0, 0, 0, 54, 244
"d:\Projects\C\cleonos\cleonos\c\apps\taskstat_main.c", "C", 0, 0, 0, 0, 39, 0, 0, 0, 8, 47
"d:\Projects\C\cleonos\cleonos\c\apps\touch_main.c", "C", 0, 0, 0, 0, 54, 0, 0, 0, 13, 67
"d:\Projects\C\cleonos\cleonos\c\apps\tty_main.c", "C", 0, 0, 0, 0, 60, 0, 0, 0, 14, 74
"d:\Projects\C\cleonos\cleonos\c\apps\uniq_main.c", "C", 0, 0, 0, 0, 168, 0, 0, 0, 48, 216
"d:\Projects\C\cleonos\cleonos\c\apps\userstat_main.c", "C", 0, 0, 0, 0, 44, 0, 0, 0, 8, 52
"d:\Projects\C\cleonos\cleonos\c\apps\wait_main.c", "C", 0, 0, 0, 0, 64, 0, 0, 0, 14, 78
"d:\Projects\C\cleonos\cleonos\c\apps\wavplay_main.c", "C", 0, 0, 0, 0, 396, 0, 0, 0, 99, 495
"d:\Projects\C\cleonos\cleonos\c\apps\wc_main.c", "C", 0, 0, 0, 0, 164, 0, 0, 0, 45, 209
"d:\Projects\C\cleonos\cleonos\c\apps\write_main.c", "C", 0, 0, 0, 0, 70, 0, 0, 0, 15, 85
"d:\Projects\C\cleonos\cleonos\c\apps\yield_main.c", "C", 0, 0, 0, 0, 35, 0, 0, 0, 8, 43
"d:\Projects\C\cleonos\cleonos\c\include\cleonos_syscall.h", "C++", 0, 0, 0, 0, 0, 26, 0, 0, 0, 26
"d:\Projects\C\cleonos\cleonos\c\src\runtime.c", "C", 0, 0, 0, 0, 29, 0, 0, 0, 7, 36
"d:\Projects\C\cleonos\cleonos\c\src\syscall.c", "C", 0, 0, 0, 0, 39, 0, 0, 0, 14, 53
"d:\Projects\C\cleonos\clks\arch\x86_64\exec_stack_call.S", "Go Assembly", 0, 0, 0, 0, 0, 0, 8, 0, 2, 10
"d:\Projects\C\cleonos\clks\drivers\audio\pcspeaker.c", "C", 0, 0, 0, 0, 101, 0, 0, 0, 25, 126
"d:\Projects\C\cleonos\clks\drivers\video\framebuffer.c", "C", 0, 0, 0, 0, 21, 0, 0, 0, 6, 27
"d:\Projects\C\cleonos\clks\include\clks\audio.h", "C++", 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"d:\Projects\C\cleonos\clks\include\clks\driver.h", "C++", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Projects\C\cleonos\clks\include\clks\exec.h", "C++", 0, 0, 0, 0, 0, 16, 0, 0, 0, 16
"d:\Projects\C\cleonos\clks\include\clks\framebuffer.h", "C++", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\Projects\C\cleonos\clks\include\clks\keyboard.h", "C++", 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"d:\Projects\C\cleonos\clks\include\clks\syscall.h", "C++", 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"d:\Projects\C\cleonos\clks\kernel\driver.c", "C", 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\Projects\C\cleonos\clks\kernel\exec.c", "C", 0, 0, 0, 0, 299, 0, 0, 0, 71, 370
"d:\Projects\C\cleonos\clks\kernel\interrupts.c", "C", 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"d:\Projects\C\cleonos\clks\kernel\keyboard.c", "C", 0, 0, 0, 0, 52, 0, 0, 0, 15, 67
"d:\Projects\C\cleonos\clks\kernel\kmain.c", "C", 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
"d:\Projects\C\cleonos\clks\kernel\syscall.c", "C", 0, 0, 0, 0, 127, 0, 0, 0, 30, 157
"d:\Projects\C\cleonos\clks\kernel\tty.c", "C", 0, 0, 0, 0, 486, 0, 0, 0, 108, 594
"d:\Projects\C\cleonos\docs\stage27.md", "Markdown", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\Projects\C\cleonos\docs\syscall.md", "Markdown", 0, 0, 77, 0, 0, 0, 0, 0, 30, 107
"d:\Projects\C\cleonos\wine\README.md", "Markdown", 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"d:\Projects\C\cleonos\wine\cleonos_wine_lib\constants.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\Projects\C\cleonos\wine\cleonos_wine_lib\platform.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"d:\Projects\C\cleonos\wine\cleonos_wine_lib\runner.py", "Python", 237, 0, 0, 0, 0, 0, 0, 0, 38, 275
"d:\Projects\C\cleonos\wine\cleonos_wine_lib\state.py", "Python", 60, 0, 0, 0, 0, 0, 0, 0, 13, 73
"Total", "-", 328, 48, 277, 8, 7470, 163, 8, 1, 2069, 10372
