Date : 2026-04-11 19:00:52
Directory : d:\Projects\C\cleonos
Total : 97 files,  7635 codes, 8 comments, 1894 blanks, all 9537 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| clks\drivers\video                                            |          5 |        407 |          0 |         92 |        499 |
| clks\include                                                  |         28 |        555 |          0 |        152 |        707 |
| clks\include\clks                                             |         28 |        555 |          0 |        152 |        707 |
| clks\kernel                                                   |         20 |      4,266 |          2 |      1,154 |      5,422 |
| clks\lib                                                      |          1 |         54 |          0 |         16 |         70 |
| cmake                                                         |          4 |        185 |          0 |         36 |        221 |
| configs                                                       |          1 |          6 |          0 |          1 |          7 |
| docs                                                          |         18 |        660 |          0 |        102 |        762 |
| ramdisk                                                       |          1 |         11 |          0 |          2 |         13 |
| ramdisk\shell                                                 |          1 |         11 |          0 |          2 |         13 |
| scripts                                                       |          1 |         64 |          2 |         18 |         84 |
+---------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------+-------------+------------+------------+------------+------------+
| filename                                                      | language    | code       | comment    | blank      | total      |
+---------------------------------------------------------------+-------------+------------+------------+------------+------------+
| d:\Projects\C\cleonos\CMakeLists.txt                          | CMake       |        535 |          0 |         75 |        610 |
| d:\Projects\C\cleonos\Makefile                                | Makefile    |        100 |          0 |         22 |        122 |
| d:\Projects\C\cleonos\cleonos\c\apps\elfrunner_kmain.c        | C           |          6 |          0 |          3 |          9 |
| d:\Projects\C\cleonos\cleonos\c\apps\elfrunner_main.c         | C           |          6 |          0 |          3 |          9 |
| d:\Projects\C\cleonos\cleonos\c\apps\memc_kmain.c             | C           |          6 |          0 |          3 |          9 |
| d:\Projects\C\cleonos\cleonos\c\apps\memc_main.c              | C           |          8 |          0 |          3 |         11 |
| d:\Projects\C\cleonos\cleonos\c\apps\shell_main.c             | C           |        396 |          0 |        124 |        520 |
| d:\Projects\C\cleonos\cleonos\c\apps\ttydrv_main.c            | C           |          6 |          0 |          3 |          9 |
| d:\Projects\C\cleonos\cleonos\c\include\cleonos_rust_bridge.h | C++         |          6 |          0 |          4 |         10 |
| d:\Projects\C\cleonos\cleonos\c\include\cleonos_syscall.h     | C++         |         60 |          0 |          5 |         65 |
| d:\Projects\C\cleonos\cleonos\c\src\runtime.c                 | C           |         11 |          0 |          6 |         17 |
| d:\Projects\C\cleonos\cleonos\c\src\syscall.c                 | C           |         89 |          0 |         29 |        118 |
| d:\Projects\C\cleonos\cleonos\c\stub.c                        | C           |          3 |          4 |          2 |          9 |
| d:\Projects\C\cleonos\cleonos\rust\src\lib.rs                 | Rust        |         23 |          0 |          9 |         32 |
| d:\Projects\C\cleonos\clks\arch\aarch64\boot.c                | C           |          6 |          0 |          1 |          7 |
| d:\Projects\C\cleonos\clks\arch\x86_64\boot.c                 | C           |          6 |          0 |          1 |          7 |
| d:\Projects\C\cleonos\clks\arch\x86_64\interrupt_stubs.S      | Go Assembly |        108 |          0 |         12 |        120 |
| d:\Projects\C\cleonos\clks\drivers\serial\serial.c            | C           |         52 |          0 |         16 |         68 |
| d:\Projects\C\cleonos\clks\drivers\video\font8x8.c            | C           |         67 |          0 |          8 |         75 |
| d:\Projects\C\cleonos\clks\drivers\video\font8x8.h            | C++         |          5 |          0 |          3 |          8 |
| d:\Projects\C\cleonos\clks\drivers\video\framebuffer.c        | C           |        162 |          0 |         42 |        204 |
| d:\Projects\C\cleonos\clks\drivers\video\psf_font.c           | C           |        159 |          0 |         35 |        194 |
| d:\Projects\C\cleonos\clks\drivers\video\psf_font.h           | C++         |         14 |          0 |          4 |         18 |
| d:\Projects\C\cleonos\clks\include\clks\boot.h                | C++         |         11 |          0 |          4 |         15 |
| d:\Projects\C\cleonos\clks\include\clks\compiler.h            | C++         |         13 |          0 |          4 |         17 |
| d:\Projects\C\cleonos\clks\include\clks\cpu.h                 | C++         |         20 |          0 |          4 |         24 |
| d:\Projects\C\cleonos\clks\include\clks\driver.h              | C++         |         28 |          0 |          8 |         36 |
| d:\Projects\C\cleonos\clks\include\clks\elf64.h               | C++         |         27 |          0 |          8 |         35 |
| d:\Projects\C\cleonos\clks\include\clks\elfrunner.h           | C++         |          6 |          0 |          3 |          9 |
| d:\Projects\C\cleonos\clks\include\clks\exec.h                | C++         |          8 |          0 |          3 |         11 |
| d:\Projects\C\cleonos\clks\include\clks\framebuffer.h         | C++         |         20 |          0 |          4 |         24 |
| d:\Projects\C\cleonos\clks\include\clks\fs.h                  | C++         |         23 |          0 |          7 |         30 |
| d:\Projects\C\cleonos\clks\include\clks\heap.h                | C++         |         15 |          0 |          4 |         19 |
| d:\Projects\C\cleonos\clks\include\clks\interrupts.h          | C++         |          6 |          0 |          3 |          9 |
| d:\Projects\C\cleonos\clks\include\clks\kelf.h                | C++         |          9 |          0 |          5 |         14 |
| d:\Projects\C\cleonos\clks\include\clks\kernel.h              | C++         |          4 |          0 |          2 |          6 |
| d:\Projects\C\cleonos\clks\include\clks\keyboard.h            | C++         |         19 |          0 |          5 |         24 |
| d:\Projects\C\cleonos\clks\include\clks\limine.h              | C++         |        132 |          0 |         24 |        156 |
| d:\Projects\C\cleonos\clks\include\clks\log.h                 | C++         |         12 |          0 |          4 |         16 |
| d:\Projects\C\cleonos\clks\include\clks\pmm.h                 | C++         |         16 |          0 |          5 |         21 |
| d:\Projects\C\cleonos\clks\include\clks\ramdisk.h             | C++         |         17 |          0 |          8 |         25 |
| d:\Projects\C\cleonos\clks\include\clks\scheduler.h           | C++         |         18 |          0 |          5 |         23 |
| d:\Projects\C\cleonos\clks\include\clks\serial.h              | C++         |          6 |          0 |          2 |          8 |
| d:\Projects\C\cleonos\clks\include\clks\service.h             | C++         |         31 |          0 |          8 |         39 |
| d:\Projects\C\cleonos\clks\include\clks\shell.h               | C++         |          7 |          0 |          3 |         10 |
| d:\Projects\C\cleonos\clks\include\clks\string.h              | C++         |          9 |          0 |          3 |         12 |
| d:\Projects\C\cleonos\clks\include\clks\syscall.h             | C++         |         34 |          0 |          4 |         38 |
| d:\Projects\C\cleonos\clks\include\clks\task.h                | C++         |         24 |          0 |          7 |         31 |
| d:\Projects\C\cleonos\clks\include\clks\tty.h                 | C++         |         12 |          0 |          5 |         17 |
| d:\Projects\C\cleonos\clks\include\clks\types.h               | C++         |         17 |          0 |          6 |         23 |
| d:\Projects\C\cleonos\clks\include\clks\userland.h            | C++         |         11 |          0 |          4 |         15 |
| d:\Projects\C\cleonos\clks\kernel\driver.c                    | C           |        163 |          0 |         48 |        211 |
| d:\Projects\C\cleonos\clks\kernel\elf64.c                     | C           |        170 |          0 |         52 |        222 |
| d:\Projects\C\cleonos\clks\kernel\elfrunner.c                 | C           |         30 |          0 |          8 |         38 |
| d:\Projects\C\cleonos\clks\kernel\exec.c                      | C           |         51 |          0 |         15 |         66 |
| d:\Projects\C\cleonos\clks\kernel\fs.c                        | C           |        698 |          0 |        220 |        918 |
| d:\Projects\C\cleonos\clks\kernel\heap.c                      | C           |        134 |          0 |         42 |        176 |
| d:\Projects\C\cleonos\clks\kernel\interrupts.c                | C           |        298 |          0 |         43 |        341 |
| d:\Projects\C\cleonos\clks\kernel\kelf.c                      | C           |        203 |          1 |         53 |        257 |
| d:\Projects\C\cleonos\clks\kernel\keyboard.c                  | C           |        199 |          0 |         42 |        241 |
| d:\Projects\C\cleonos\clks\kernel\kmain.c                     | C           |        180 |          1 |         50 |        231 |
| d:\Projects\C\cleonos\clks\kernel\limine_requests.c           | C           |         76 |          0 |         26 |        102 |
| d:\Projects\C\cleonos\clks\kernel\log.c                       | C           |         79 |          0 |         17 |         96 |
| d:\Projects\C\cleonos\clks\kernel\pmm.c                       | C           |         82 |          0 |         23 |        105 |
| d:\Projects\C\cleonos\clks\kernel\ramdisk.c                   | C           |        172 |          0 |         50 |        222 |
| d:\Projects\C\cleonos\clks\kernel\scheduler.c                 | C           |        127 |          0 |         42 |        169 |
| d:\Projects\C\cleonos\clks\kernel\service.c                   | C           |        113 |          0 |         34 |        147 |
| d:\Projects\C\cleonos\clks\kernel\shell.c                     | C           |        860 |          0 |        230 |      1,090 |
| d:\Projects\C\cleonos\clks\kernel\syscall.c                   | C           |        243 |          0 |         50 |        293 |
| d:\Projects\C\cleonos\clks\kernel\tty.c                       | C           |        275 |          0 |         77 |        352 |
| d:\Projects\C\cleonos\clks\kernel\userland.c                  | C           |        113 |          0 |         32 |        145 |
| d:\Projects\C\cleonos\clks\lib\string.c                       | C           |         54 |          0 |         16 |         70 |
| d:\Projects\C\cleonos\cmake\check_tools.cmake                 | CMake       |         32 |          0 |          6 |         38 |
| d:\Projects\C\cleonos\cmake\log.cmake                         | CMake       |         30 |          0 |          6 |         36 |
| d:\Projects\C\cleonos\cmake\log_emit.cmake                    | CMake       |         23 |          0 |          6 |         29 |
| d:\Projects\C\cleonos\cmake\setup_limine.cmake                | CMake       |        100 |          0 |         18 |        118 |
| d:\Projects\C\cleonos\configs\limine.conf                     | Properties  |          6 |          0 |          1 |          7 |
| d:\Projects\C\cleonos\docs\README.md                          | Markdown    |         22 |          0 |          2 |         24 |
| d:\Projects\C\cleonos\docs\stage1.md                          | Markdown    |         41 |          0 |          5 |         46 |
| d:\Projects\C\cleonos\docs\stage10.md                         | Markdown    |         34 |          0 |          6 |         40 |
| d:\Projects\C\cleonos\docs\stage11.md                         | Markdown    |         36 |          0 |          5 |         41 |
| d:\Projects\C\cleonos\docs\stage12.md                         | Markdown    |         40 |          0 |          6 |         46 |
| d:\Projects\C\cleonos\docs\stage13.md                         | Markdown    |         34 |          0 |          6 |         40 |
| d:\Projects\C\cleonos\docs\stage14.md                         | Markdown    |         44 |          0 |          8 |         52 |
| d:\Projects\C\cleonos\docs\stage15.md                         | Markdown    |         47 |          0 |          7 |         54 |
| d:\Projects\C\cleonos\docs\stage2.md                          | Markdown    |         30 |          0 |          5 |         35 |
| d:\Projects\C\cleonos\docs\stage20.md                         | Markdown    |         46 |          0 |          6 |         52 |
| d:\Projects\C\cleonos\docs\stage21.md                         | Markdown    |         72 |          0 |          7 |         79 |
| d:\Projects\C\cleonos\docs\stage3.md                          | Markdown    |         29 |          0 |          5 |         34 |
| d:\Projects\C\cleonos\docs\stage4.md                          | Markdown    |         30 |          0 |          5 |         35 |
| d:\Projects\C\cleonos\docs\stage5.md                          | Markdown    |         29 |          0 |          5 |         34 |
| d:\Projects\C\cleonos\docs\stage6.md                          | Markdown    |         30 |          0 |          6 |         36 |
| d:\Projects\C\cleonos\docs\stage7.md                          | Markdown    |         34 |          0 |          6 |         40 |
| d:\Projects\C\cleonos\docs\stage8.md                          | Markdown    |         31 |          0 |          6 |         37 |
| d:\Projects\C\cleonos\docs\stage9.md                          | Markdown    |         31 |          0 |          6 |         37 |
| d:\Projects\C\cleonos\ramdisk\shell\init.cmd                  | Batch       |         11 |          0 |          2 |         13 |
| d:\Projects\C\cleonos\scripts\gen-tty-psf.ps1                 | PowerShell  |         64 |          2 |         18 |         84 |
| Total                                                         |             |      7,635 |          8 |      1,894 |      9,537 |
+---------------------------------------------------------------+-------------+------------+------------+------------+------------+
